1 & 1.64556(28) & 9141.44(41) & 0.494(11) & 22.11 & 0 &\\ 
2 & 0.80871(45) & 8648.17(51) & 7.447(17) & 12.58 & 0 &\\ 
3 & 0.63496(80) & 8016.45(81) & -5.272(31) & 7.04 & 0 &\\ 
4 & 0.13895(87) & 7928.29(74) & 8.640(34) & 6.48 & 0 &\\ 
5 & 1.1039(10) & 7691.62(88) & 4.319(42) & 5.29 & 0 &\\ 
6 & 0.7128(10) & 7770.70(61) & -2.582(39) & 5.62 & 0 &\\ 
7 & 0.2847(13) & 7460.30(96) & -2.177(53) & 4.22 & 0 &\\ 
8 & 0.3910(14) & 7352.77(96) & 7.837(58) & 3.83 & 0 &\\ 
9 & 0.4416(17) & 7202.09(44) & 10.043(67) & 3.33 & 0 &\\ 
10 & 0.8676(17) & 7179.64(97) & -1.732(68) & 3.28 & 0 &\\ 
11 & 3.2935(23) & 6863.19(20) & 0.155(91) & 12.78 & 0 &\\ 
12 & 2.4629(22) & 6879.73(69) & -0.040(90) & 5.08 & 0 &\\ 
13 & 4.9374(88) & 5408.20(28) & 1.50(34) & 9.55 & 0 &\\ 
14 & 5.767(10) & 5219.546(84) & 0.44(41) & 9.46 & 0 &\\ 
15 & 4.114(11) & 5075.227(29) & 1.08(47) & 4.92 & 0 &\\ 
16 & 5.003(17) & 4658.584(36) & -1.30(69) & 4.89 & 0 &\\ 
